Episode,Score,MaxScore,AvgScore100,Epsilon,Steps,TotalReward
138,2,3,0.3600,0.500709,75,-80.0
139,5,5,0.4100,0.498205,75,-50.0
140,1,5,0.4200,0.495714,8,-90.0
141,2,5,0.4400,0.493236,92,-80.0
142,3,5,0.4700,0.490769,83,-70.0
143,3,5,0.5000,0.488316,152,-70.0
144,4,5,0.5400,0.485874,100,-60.0
145,1,5,0.5500,0.483445,25,-90.0
146,0,5,0.5500,0.481027,26,-100.0
147,2,5,0.5700,0.478622,39,-80.0
148,0,5,0.5700,0.476229,32,-100.0
149,1,5,0.5800,0.473848,22,-90.0
150,2,5,0.5900,0.471479,101,-80.0
151,3,5,0.6200,0.469121,80,-70.0
152,3,5,0.6500,0.466776,91,-70.0
153,0,5,0.6500,0.464442,17,-100.0
154,1,5,0.6600,0.462120,25,-90.0
155,1,5,0.6700,0.459809,31,-90.0
156,2,5,0.6900,0.457510,58,-80.0
157,4,5,0.7300,0.455222,70,-60.0
158,0,5,0.7300,0.452946,20,-100.0
159,3,5,0.7600,0.450682,192,-70.0
160,0,5,0.7600,0.448428,24,-100.0
161,3,5,0.7900,0.446186,63,-70.0
162,2,5,0.8100,0.443955,27,-80.0
163,3,5,0.8400,0.441735,111,-70.0
164,1,5,0.8500,0.439527,26,-90.0
165,3,5,0.8800,0.437329,120,-70.0
166,0,5,0.8800,0.435142,22,-100.0
167,1,5,0.8900,0.432967,40,-90.0
168,3,5,0.9200,0.430802,53,-70.0
169,1,5,0.9300,0.428648,59,-90.0
170,2,5,0.9400,0.426505,104,-80.0
171,1,5,0.9500,0.424372,44,-90.0
172,1,5,0.9600,0.422250,16,-90.0
173,7,7,1.0300,0.420139,136,-30.0
174,3,7,1.0600,0.418038,37,-70.0
175,3,7,1.0900,0.415948,61,-70.0
176,4,7,1.1200,0.413868,122,-60.0
177,4,7,1.1600,0.411799,113,-60.0
178,1,7,1.1700,0.409740,55,-90.0
179,2,7,1.1900,0.407691,116,-80.0
180,4,7,1.2300,0.405653,102,-60.0
181,3,7,1.2600,0.403625,44,-70.0
182,4,7,1.2900,0.401606,100,-60.0
183,2,7,1.3100,0.399598,41,-80.0
184,4,7,1.3500,0.397600,118,-60.0
185,3,7,1.3800,0.395612,48,-70.0
186,0,7,1.3800,0.393634,16,-100.0
187,2,7,1.4000,0.391666,39,-80.0
188,5,7,1.4500,0.389708,91,-50.0
189,0,7,1.4500,0.387759,24,-100.0
190,3,7,1.4800,0.385821,49,-70.0
191,2,7,1.4900,0.383891,54,-80.0
192,1,7,1.5000,0.381972,27,-90.0
193,0,7,1.5000,0.380062,20,-100.0
194,4,7,1.5200,0.378162,93,-60.0
195,1,7,1.5300,0.376271,20,-90.0
196,5,7,1.5600,0.374390,55,-50.0
197,2,7,1.5800,0.372518,47,-80.0
198,1,7,1.5900,0.370655,16,-90.0
199,4,7,1.6200,0.368802,74,-60.0
200,1,7,1.6300,0.366958,15,-90.0
201,7,7,1.7000,0.365123,164,-30.0
202,2,7,1.7200,0.363297,54,-80.0
203,1,7,1.7300,0.361481,19,-90.0
204,6,7,1.7900,0.359674,81,-40.0
205,4,7,1.8300,0.357875,82,-60.0
206,1,7,1.8400,0.356086,28,-90.0
207,3,7,1.8700,0.354305,67,-70.0
208,3,7,1.8900,0.352534,34,-70.0
209,0,7,1.8800,0.350771,26,-100.0
210,3,7,1.9100,0.349017,41,-70.0
211,5,7,1.9500,0.347272,140,-50.0
212,5,7,1.9900,0.345536,83,-50.0
213,4,7,2.0200,0.343808,46,-60.0
214,3,7,2.0500,0.342089,58,-70.0
215,5,7,2.0900,0.340379,103,-50.0
216,3,7,2.1200,0.338677,62,-70.0
217,0,7,2.1200,0.336983,21,-100.0
218,6,7,2.1800,0.335298,98,-40.0
219,1,7,2.1900,0.333622,21,-90.0
220,5,7,2.2400,0.331954,62,-50.0
221,0,7,2.2400,0.330294,23,-100.0
222,3,7,2.2400,0.328643,61,-70.0
223,2,7,2.2400,0.326999,30,-80.0
224,3,7,2.2700,0.325364,35,-70.0
225,7,7,2.3200,0.323738,145,-30.0
226,4,7,2.3500,0.322119,112,-60.0
227,3,7,2.3700,0.320508,147,-70.0
228,3,7,2.3900,0.318906,69,-70.0
229,1,7,2.4000,0.317311,10,-90.0
230,1,7,2.4100,0.315725,17,-90.0
231,7,7,2.4600,0.314146,124,-30.0
232,4,7,2.4900,0.312575,76,-60.0
233,0,7,2.4900,0.311012,14,-100.0
234,5,7,2.5200,0.309457,119,-50.0
235,2,7,2.5200,0.307910,56,-80.0
236,3,7,2.5500,0.306371,55,-70.0
237,3,7,2.5700,0.304839,55,-70.0
238,1,7,2.5600,0.303315,25,-90.0
239,4,7,2.5500,0.301798,96,-60.0
240,3,7,2.5700,0.300289,28,-70.0
241,2,7,2.5700,0.298788,73,-80.0
242,3,7,2.5700,0.297294,58,-70.0
243,3,7,2.5700,0.295807,75,-70.0
244,5,7,2.5800,0.294328,89,-50.0
245,13,13,2.7000,0.292856,268,30.0
246,3,13,2.7300,0.291392,63,-70.0
247,3,13,2.7400,0.289935,68,-70.0
248,3,13,2.7700,0.288486,114,-70.0
249,3,13,2.7900,0.287043,37,-70.0
250,3,13,2.8000,0.285608,54,-70.0
251,4,13,2.8100,0.284180,41,-60.0
252,3,13,2.8100,0.282759,66,-70.0
253,0,13,2.8100,0.281345,16,-100.0
254,2,13,2.8200,0.279938,36,-80.0
255,3,13,2.8400,0.278539,28,-70.0
256,2,13,2.8400,0.277146,53,-80.0
257,5,13,2.8500,0.275760,60,-50.0
258,4,13,2.8900,0.274382,112,-60.0
259,5,13,2.9100,0.273010,99,-50.0
260,1,13,2.9200,0.271645,44,-90.0
261,3,13,2.9200,0.270286,39,-70.0
262,8,13,2.9800,0.268935,130,-20.0
263,4,13,2.9900,0.267590,64,-60.0
264,4,13,3.0200,0.266252,62,-60.0
265,1,13,3.0000,0.264921,23,-90.0
266,4,13,3.0400,0.263596,48,-60.0
267,6,13,3.0900,0.262278,154,-40.0
268,1,13,3.0700,0.260967,18,-90.0
269,7,13,3.1300,0.259662,122,-30.0
270,3,13,3.1400,0.258364,48,-70.0
271,0,13,3.1300,0.257072,20,-100.0
272,6,13,3.1800,0.255787,98,-40.0
273,1,13,3.1200,0.254508,30,-90.0
274,4,13,3.1300,0.253235,65,-60.0
275,5,13,3.1500,0.251969,91,-50.0
276,7,13,3.1800,0.250709,102,-30.0
277,1,13,3.1500,0.249456,23,-90.0
278,3,13,3.1700,0.248208,48,-70.0
279,4,13,3.1900,0.246967,47,-60.0
280,2,13,3.1700,0.245733,32,-80.0
281,6,13,3.2000,0.244504,117,-40.0
282,2,13,3.1800,0.243281,49,-80.0
283,3,13,3.1900,0.242065,57,-70.0
284,4,13,3.1900,0.240855,101,-60.0
285,2,13,3.1800,0.239650,71,-80.0
286,0,13,3.1800,0.238452,16,-100.0
287,10,13,3.2600,0.237260,232,0.0
288,6,13,3.2700,0.236074,86,-40.0
289,6,13,3.3300,0.234893,91,-40.0
290,4,13,3.3400,0.233719,66,-60.0
291,5,13,3.3700,0.232550,86,-50.0
292,3,13,3.3900,0.231387,37,-70.0
293,2,13,3.4100,0.230230,20,-80.0
294,8,13,3.4500,0.229079,124,-20.0
295,7,13,3.5100,0.227934,114,-30.0
296,4,13,3.5000,0.226794,56,-60.0
297,2,13,3.5000,0.225660,34,-80.0
298,2,13,3.5100,0.224532,40,-80.0
299,4,13,3.5100,0.223409,55,-60.0
300,4,13,3.5400,0.222292,69,-60.0
301,1,13,3.4800,0.221181,28,-90.0
302,2,13,3.4800,0.220075,53,-80.0
303,5,13,3.5200,0.218974,98,-50.0
304,3,13,3.4900,0.217880,45,-70.0
305,5,13,3.5000,0.216790,82,-50.0
306,4,13,3.5300,0.215706,55,-60.0
307,8,13,3.5800,0.214628,122,-20.0
308,4,13,3.5900,0.213555,43,-60.0
309,9,13,3.6800,0.212487,183,-10.0
310,10,13,3.7500,0.211424,132,0.0
